DyadNr;Side;Age;Gender;Image;Knowing;Enjoying;ImproForms;Instrument;miscellaneous ;
1;l;40;m;black;3;5;no;1;;
1;r;18;m;yellow;3;5;1;1;;
2;l;38;m;black;4;7;7;5;;
2;r;25;f;yellow;4;6;no;no;;
3;l;31;m;blue;1;4;na;na;Thomas;
3;r;62;f;blue;1;5;no;52;;
4;l;31;m;black;1;6;na;na;Thomas;
4;r;35;f;brown;1;7;no;2;;
5;l;36;f;blue;5;6;no;no;;
5;r;28;f;blue;6;4;no;no;;
6;l;27;f;brown;1;4;no;20;;
6;r;58;m;brown;1;5;no;no;;
7;l;25;f;yellow;7;3;5;5;;
7;r;25;m;yellow;7;7;no;no;;
8;l;24;f;brown;7;7;1.5;no;;
8;r;45;f;brown;5;5;no;2;;
9;l;25;m;blue;7;5;no;no;;
9;r;26;f;yellow;7;3;no;no;;
10;l;47;f;black;7;5;no;no;;
10;r;42;m;black;7;5;8;0.5;;
11;l;24;f;blue;6;6;no;1;;
11;r;25;f;blue;7;5;no;5;;
12;l;24;f;black;1;6;no;no;;
12;r;68;f;black;1;7;??;30;;
13;l;22;f;blue;7;6;??;4;;
13;r;73;f;blue;7;7;no;0;;
14;l;na;na;brown;5;6;no;3;;
14;r;29;f;brown;7;6;no;0;;
15;l;28;f;yellow;7;7;10;20;;
15;r;26;m;blue;7;7;10;14;;
16;l;25;m;brown;5;5;no;no;;
16;r;26;m;black;6;7;no;no;;
17;l;30;m;yellow;1;2;3.5;10;;
17;r;51;m;yellow;1;5;no;no;;
18;l;48;f;brown;6;4;5;3;;
18;r;53;m;black;6;5;no;no;;
19;l;23;m;blue;5;3;no;no;;
19;r;22;f;yellow;5;5;1.5;10;;
20;l;na;na;black;7;5;0;9;;
20;r;32;f;black;7;5;1;9;;
21;l;23;f;yellow;7;6;21;4;;
21;r;25;f;yellow;7;5;no;no;;
22;l;36;m;black;1;6;0;1;;
22;r;19;m;brown;1;6;no;3;;
23;l;4;m;blue;7;na;no;0;;
23;r;4;m;yellow;7;na;no;0;;
24;l;37;m;brown;2;4;no;2;;
